date,time,team1,team2,score1,score2,venue,game_status,result
03.23(토),14:00,한화,LG,8,2,잠실,-,한화 승
03.23(토),14:00,롯데,SSG,5,3,문학,-,롯데 승
03.23(토),14:00,두산,NC,4,3,창원,-,두산 승
03.23(토),14:00,삼성,KT,6,2,수원,-,삼성 승
03.23(토),14:00,키움,KIA,7,5,광주,-,키움 승
03.24(일),14:00,한화,LG,8,4,잠실,-,한화 승
03.24(일),14:00,롯데,SSG,7,6,문학,-,롯데 승
03.24(일),14:00,두산,NC,6,3,창원,-,두산 승
03.24(일),14:00,삼성,KT,11,8,수원,-,삼성 승
03.26(화),18:30,삼성,LG,4,3,잠실,-,삼성 승
03.26(화),18:30,한화,SSG,6,0,문학,-,한화 승
03.26(화),18:30,키움,NC,10,5,창원,-,키움 승
03.26(화),18:30,두산,KT,8,5,수원,-,두산 승
03.26(화),18:30,롯데,KIA,2,1,광주,-,롯데 승
03.27(수),18:30,한화,SSG,3,1,문학,-,한화 승
03.27(수),18:30,키움,NC,6,2,창원,-,키움 승
03.27(수),18:30,두산,KT,11,8,수원,-,두산 승
03.27(수),18:30,롯데,KIA,8,2,광주,-,롯데 승
03.28(목),18:30,삼성,LG,18,1,잠실,-,삼성 승
03.28(목),18:30,한화,SSG,10,6,문학,-,한화 승
03.28(목),18:30,두산,KT,8,7,수원,-,두산 승
03.29(금),18:30,KIA,두산,4,2,잠실,-,KIA 승
03.29(금),18:30,NC,롯데,3,1,사직,-,NC 승
03.29(금),18:30,SSG,삼성,6,4,대구,-,SSG 승
03.29(금),18:30,LG,키움,3,0,고척,-,LG 승
03.29(금),18:30,KT,한화,3,2,대전,-,KT 승
03.30(토),14:00,KT,한화,8,5,대전,-,KT 승
03.30(토),17:00,KIA,두산,8,0,잠실,-,KIA 승
03.30(토),17:00,NC,롯데,8,0,사직,-,NC 승
03.30(토),17:00,SSG,삼성,9,6,대구,-,SSG 승
03.30(토),17:00,LG,키움,8,3,고척,-,LG 승
03.31(일),14:00,KIA,두산,9,3,잠실,-,KIA 승
03.31(일),14:00,NC,롯데,8,7,사직,-,NC 승
03.31(일),14:00,SSG,삼성,4,3,대구,-,SSG 승
03.31(일),14:00,LG,키움,8,4,고척,-,LG 승
03.31(일),14:00,KT,한화,14,3,대전,-,KT 승
