date,time,team1,team2,score1,score2,venue,game_status,result
06.01(토),17:00,LG,두산,8,5,잠실,-,LG 승
06.01(토),17:00,NC,롯데,4,2,사직,-,NC 승
06.01(토),17:00,한화,삼성,6,4,대구,-,한화 승
06.01(토),17:00,KT,KIA,4,2,광주,-,KT 승
06.01(토),17:00,SSG,키움,9,0,고척,-,SSG 승
06.02(일),14:00,LG,두산,9,1,잠실,-,LG 승
06.02(일),14:00,SSG,키움,6,2,고척,-,SSG 승
06.02(일),17:00,NC,롯데,13,4,사직,-,NC 승
06.02(일),17:00,한화,삼성,1,0,대구,-,한화 승
06.02(일),17:00,KT,KIA,11,3,광주,-,KT 승
06.04(화),18:30,키움,LG,11,3,잠실,-,키움 승
06.04(화),18:30,삼성,SSG,3,1,문학,-,삼성 승
06.04(화),18:30,두산,NC,4,1,창원,-,두산 승
06.04(화),18:30,한화,KT,8,2,수원,-,한화 승
06.04(화),18:30,롯데,KIA,6,0,광주,-,롯데 승
06.05(수),18:30,키움,LG,4,2,잠실,-,키움 승
06.05(수),18:30,삼성,SSG,7,3,문학,-,삼성 승
06.05(수),18:30,두산,NC,4,3,창원,-,두산 승
06.05(수),18:30,한화,KT,12,2,수원,-,한화 승
06.05(수),18:30,롯데,KIA,9,3,광주,-,롯데 승
06.06(목),14:00,삼성,SSG,4,0,문학,-,삼성 승
06.06(목),14:00,롯데,KIA,5,4,광주,-,롯데 승
06.06(목),17:00,키움,LG,8,4,잠실,-,키움 승
06.06(목),17:00,두산,NC,8,4,창원,-,두산 승
06.06(목),17:00,한화,KT,6,0,수원,-,한화 승
06.07(금),18:30,KIA,두산,6,5,잠실,-,KIA 승
06.07(금),18:30,SSG,롯데,11,7,사직,-,SSG 승
06.07(금),18:30,LG,KT,8,7,수원,-,LG 승
06.07(금),18:30,삼성,키움,7,5,고척,-,삼성 승
06.07(금),18:30,NC,한화,6,2,대전,-,NC 승
06.08(토),17:00,KIA,두산,9,8,잠실,-,KIA 승
06.08(토),17:00,LG,KT,8,2,수원,-,LG 승
06.08(토),17:00,삼성,키움,10,3,고척,-,삼성 승
06.08(토),17:00,NC,한화,4,2,대전,-,NC 승
06.09(일),14:00,삼성,키움,7,1,고척,-,삼성 승
06.09(일),14:00,SSG,롯데,5,1,사직,-,SSG 승
06.09(일),17:00,KIA,두산,8,2,잠실,-,KIA 승
06.09(일),17:00,LG,KT,11,2,수원,-,LG 승
06.09(일),17:00,SSG,롯데,5,3,사직,-,SSG 승
06.11(화),18:30,한화,두산,6,1,잠실,-,한화 승
06.11(화),18:30,KIA,SSG,7,6,문학,-,KIA 승
06.11(화),18:30,키움,롯데,5,2,사직,-,키움 승
06.11(화),18:30,LG,삼성,6,4,대구,-,LG 승
06.11(화),18:30,KT,NC,8,6,창원,-,KT 승
